english,pos,cefr,translation_tr,alt_translation_tr,disambiguation,warning
notebook,noun,C1,dizüstü bilgisayar,,zelfstandig naamwoord (laptop) — zie ook notebook (papieren schrift),
nothing,pronoun,A1,hiçbir şey,,,
notice,verb,A2,fark etmek,,werkwoord — zie ook notice (zelfstandig naamwoord) (to become aware of),
notice,noun,A2,ilan,uyarı,zelfstandig naamwoord — zie ook notice (werkwoord) (a written announcement),
notify,verb,C1,bildirmek,haber vermek,,
notion,noun,B2,kavram,fikir,,
notorious,adjective,C1,adı kötüye çıkmış,,,
novel,adjective,C1,yeni (özgün),,(new and original),
novel,noun,A2,roman,,(a book-length fictional story),
novelist,noun,B2,romancı,,,
now,adverb,A1,şimdi,,,
nowadays,adverb,B2,günümüzde,,,
nowhere,adverb,A2,hiçbir yerde,,,
nuclear,adjective,B1,nükleer,,,
number,noun,A1,sayı,,zelfstandig naamwoord — zie ook number (werkwoord) (a numeral),
number,verb,A2,numaralandırmak,,werkwoord — zie ook number (zelfstandig naamwoord) (to assign numbers to),
numerous,adjective,B2,çok sayıda,,,
nurse,noun,A1,hemşire,,,
nursery,noun,C1,kreş,fidanlık,,
nursing,adjective,B2,hemşirelik,,,
nut,noun,A2,kuruyemiş,,zelfstandig naamwoord (noot om te eten) — zie ook nut (techniek),
nut,noun,B1,somun,,"zelfstandig naamwoord (moer, bv. bout-en-moer) — zie ook nut (voedsel)",
nutrition,noun,B2,beslenme,,,
o'clock,adverb,A1,saat (tam),,,
obesity,noun,B2,obezite,şişmanlık,,
obey,verb,B2,itaat etmek,uymak,,
object,noun,A1,nesne,,zelfstandig naamwoord — zie ook object (werkwoord) (a physical thing),
object,verb,B2,itiraz etmek,,"werkwoord — zie ook object (zelfstandig naamwoord) (to disagree, protest)",
objection,noun,C1,itiraz,,,
objective,noun,B2,hedef (amaç),,zelfstandig naamwoord — zie ook objective (bijvoeglijk) (a goal),
objective,adjective,B2,objektif,tarafsız,"bijvoeglijk naamwoord — zie ook objective (zelfstandig) (unbiased, based on facts)",
obligation,noun,B2,yükümlülük,zorunluluk,,
oblige,verb,C1,zorunlu kılmak,minnettar bırakmak,,
observation,noun,B2,gözlem,,,
observe,verb,B2,gözlemlemek,,,
observer,noun,B2,gözlemci,,,
obsess,verb,C1,saplantı haline getirmek,,,
obsession,noun,C1,saplantı,takıntı,,
obstacle,noun,B2,engel,,,
obtain,verb,B2,elde etmek,,,
obvious,adjective,B1,açık (belli),,,
obviously,adverb,B1,açıkça,,,
occasion,noun,B1,vesile (özel an),,,
occasional,adjective,C1,ara sıra olan,,,
occasionally,adverb,B2,ara sıra,,,
occupation,noun,B2,meslek,,zelfstandig naamwoord (beroep) — zie ook occupation (bezetting),
occupation,noun,C1,işgal,,zelfstandig naamwoord (militaire bezetting) — zie ook occupation (beroep),
occupy,verb,B2,işgal etmek,meşgul etmek,,
occur,verb,B1,meydana gelmek,,,
occurrence,noun,C1,olay,meydana gelme,,
ocean,noun,A1,okyanus,,,
odd,adjective,B1,tuhaf,,bijvoeglijk naamwoord (vreemd) — zie ook odd (getal),
odd,adjective,B1,tek,,bijvoeglijk naamwoord (oneven getal) — zie ook odd (vreemd),
odds,noun,C1,olasılık,ihtimal,,
of,preposition,A1,-in,,,
off,adverb,A1,kapalı (kapanmış),,,
offend,verb,B2,gücendirmek,,,
offender,noun,B2,suçlu,,,
offense,noun,B2,suç,kabahat,,
offensive,adjective,B2,saldırgan (kırıcı),,,
offer,verb,A2,teklif etmek,,"werkwoord — zie ook offer (zelfstandig naamwoord) (to propose, present)",
offer,noun,A2,teklif,,zelfstandig naamwoord — zie ook offer (werkwoord) (a proposal),
offering,noun,C1,teklif,sunulan şey,,
office,noun,A1,ofis,,,
officer,noun,A2,memur (subay),,,
official,adjective,B1,resmi,,"bijvoeglijk naamwoord — zie ook official (zelfstandig) (authorized, formal)",
official,noun,B2,yetkili,,zelfstandig naamwoord — zie ook official (bijvoeglijk) (a person holding public office),
offspring,noun,C1,yavru,döl,,
often,adverb,A1,sık sık,,,
oh,exclamation,A1,ah,,,
oil,noun,A2,yağ,,zelfstandig naamwoord (bak-/kookolie) — zie ook oil (aardolie),
oil,noun,B1,petrol,,zelfstandig naamwoord (aardolie) — zie ook oil (kookolie),
old,adjective,A1,yaşlı (eski),,,
old-fashioned,adjective,B1,eski moda,,,
on,preposition,A1,üzerinde,,,
once,adverb,A1,bir kez,,,
one,number,A1,bir (sayı),,,
ongoing,adjective,B2,devam eden,,,
onion,noun,A1,soğan,,,
online,adjective,A1,çevrimiçi,,,
only,adjective,A1,tek,yalnızca,,
onto,preposition,A2,üzerine,,,
open,adjective,A1,açık,,bijvoeglijk naamwoord — zie ook open (werkwoord) (not closed),
open,verb,A1,açmak,,werkwoord — zie ook open (bijvoeglijk) (to make no longer closed),
opening,noun,B2,açılış,,,
openly,adverb,B2,açıkça,,,
opera,noun,B2,opera,,,
operate,verb,B2,çalıştırmak,,werkwoord (een machine/bedrijf laten draaien) — zie ook operate (opereren),
operate,verb,C1,ameliyat etmek,,werkwoord (chirurgisch opereren) — zie ook operate (laten draaien),
operation,noun,B1,operasyon,,zelfstandig naamwoord (militaire/zakelijke operatie) — zie ook operation (chirurgische operatie),
operation,noun,B2,ameliyat,,zelfstandig naamwoord (chirurgische operatie) — zie ook operation (militaire/zakelijke operatie),
operational,adjective,C1,operasyonel,işlevsel,,
operator,noun,B2,operatör,,,
opinion,noun,A1,görüş (fikir),,,
opponent,noun,B2,rakip,muhalif,,
opportunity,noun,A2,fırsat,,,
oppose,verb,B2,karşı çıkmak,,,
opposed,adjective,B2,karşıt,,,
opposite,adjective,A1,karşı (zıt),,,
opposition,noun,B2,muhalefet,karşı çıkma,,
opt,verb,C1,tercih etmek,seçmek,,
optical,adjective,C1,optik,,,
optimism,noun,C1,iyimserlik,,,
optimistic,adjective,B2,iyimser,,,
option,noun,A2,seçenek,,,
or,conjunction,A1,veya,,,
oral,adjective,C1,sözlü,ağızdan,,
orange,noun,A1,portakal,,zelfstandig naamwoord (de vrucht) — zie ook orange (de kleur),
orange,noun,A1,turuncu,,zelfstandig naamwoord (de kleur) — zie ook orange (de vrucht),
orchestra,noun,B2,orkestra,,,
order,verb,A1,sipariş etmek,emretmek,"werkwoord — zie ook order (zelfstandig naamwoord) (to request goods, or command)",
order,noun,A1,sipariş,,"zelfstandig naamwoord (bestelling) — zie ook order (ordelijkheid) (a request for goods, or a command)",
order,noun,B1,düzen,,"zelfstandig naamwoord (ordelijkheid/organisatie) — zie ook order (bestelling) (a request for goods, or a command)",
ordinary,adjective,A2,sıradan,,,
organ,noun,B2,organ,,,
organic,adjective,B2,organik,,,
organization,noun,A2,organizasyon,kuruluş,,
organizational,adjective,C1,örgütsel,kurumsal,,
organize,verb,A2,organize etmek,düzenlemek,,
organized,adjective,B1,düzenli (organize),,,
organizer,noun,B1,organizatör,,,
orientation,noun,C1,oryantasyon,yönelim,,
origin,noun,B2,köken,,,
original,adjective,A2,orijinal,,"bijvoeglijk naamwoord — zie ook original (zelfstandig) (the first, not a copy)",
original,noun,B1,orijinal (eser),,"zelfstandig naamwoord — zie ook original (bijvoeglijk) (the first version, not a copy)",
originally,adverb,B1,aslen,başlangıçta,,
originate,verb,C1,kaynaklanmak,ortaya çıkmak,,
other,adjective,A1,diğer,,,
otherwise,adverb,B2,aksi takdirde,,,
ought,modal verb,B1,-meli (tavsiye),,,
our,determiner,A1,bizim,,,
ours,pronoun,B1,bizimki,,,
ourselves,pronoun,A2,kendimiz,,,
out,adverb,A1,dışarı,,,
outbreak,noun,C1,salgın,patlak verme,,
outcome,noun,B2,sonuç,,,
outdoor,adjective,B1,açık hava,,,
outdoors,adverb,B1,açık havada,,,
outer,adjective,B2,dış,,,
outfit,noun,B2,kıyafet,kombin,,
outing,noun,C1,gezi,,,
outlet,noun,C1,mağaza,,zelfstandig naamwoord (winkel/outlet) — zie ook outlet (stopcontact),
outlet,noun,C1,priz,,zelfstandig naamwoord (stopcontact) — zie ook outlet (winkel),
outline,noun,B2,taslak (ana hatlar),,zelfstandig naamwoord — zie ook outline (werkwoord) (a summary of the main points),
outline,verb,B2,ana hatlarını çizmek,,werkwoord — zie ook outline (zelfstandig naamwoord) (to give the main points of),
outlook,noun,C1,bakış açısı,görünüm,,
output,noun,B2,çıktı,,,
outrage,noun,C1,öfke,,zelfstandig naamwoord — zie ook outrage (werkwoord) (strong anger),
outrage,verb,C1,öfkelendirmek,,werkwoord — zie ook outrage (zelfstandig naamwoord) (to make very angry),
outside,adverb,A1,dışarıda,,zie ook outside (voorzetsel/zelfstandig/bijvoeglijk) (out of doors),
outside,preposition,A2,dışında,,zie ook outside (bijwoord) (external to),
outsider,noun,C1,yabancı (dışarıdan),dışlanmış kişi,,
outstanding,adjective,B2,olağanüstü,,bijvoeglijk naamwoord (uitstekend) — zie ook outstanding (onbetaald),
outstanding,adjective,C1,ödenmemiş,,"bijvoeglijk naamwoord (onbetaald, bv. openstaande schuld) — zie ook outstanding (uitstekend)",
oven,noun,A2,fırın,,,
over,preposition,A1,üzerinde (üstünde),,,
overall,adjective,B2,genel (toplam),,,
overcome,verb,B2,üstesinden gelmek,,,
overlook,verb,C1,göz ardı etmek,yukarıdan bakmak,,
overly,adverb,C1,aşırı derecede,,,
overnight,adverb,B2,bir gecede,gece boyunca,,
overseas,adverb,A2,denizaşırı,yurt dışında,,
oversee,verb,C1,denetlemek,gözetmek,,
overturn,verb,C1,tersine çevirmek,bozmak (karar),,
overwhelm,verb,C1,bunaltmak,altında ezmek,,
overwhelming,adjective,C1,ezici,bunaltıcı,,
owe,verb,B2,borçlu olmak,,,
own,adjective,A1,kendi,,bijvoeglijk naamwoord — zie ook own (werkwoord) (belonging to oneself),
own,verb,A2,sahip olmak,,werkwoord — zie ook own (bijvoeglijk) (to possess),
owner,noun,A2,sahip (mal sahibi),,,
ownership,noun,B2,mülkiyet,sahiplik,,
oxygen,noun,B2,oksijen,,,
pace,noun,B2,hız (tempo),,zelfstandig naamwoord — zie ook pace (werkwoord) (speed of movement),
pace,verb,B2,adımlamak,,werkwoord — zie ook pace (zelfstandig naamwoord) (to walk back and forth),
pack,verb,A2,paketlemek (bavul hazırlamak),,werkwoord — zie ook pack (zelfstandig naamwoord) (to put items together for carrying),
pack,noun,B1,paket,,"zelfstandig naamwoord (pakket) — zie ook pack (roedel) (a bundle, group of items)",
pack,noun,B2,sürü,,"zelfstandig naamwoord (roedel dieren, bv. wolvenroedel) — zie ook pack (pakket) (a bundle, group of items)",
package,noun,B1,paket,,zelfstandig naamwoord — zie ook package (werkwoord) (a wrapped parcel),
package,verb,B2,paketlemek,,werkwoord — zie ook package (zelfstandig naamwoord) (to wrap up as a parcel),
packet,noun,B2,paket,,,
pad,noun,C1,ped,tampon,,
page,noun,A1,sayfa,,,
pain,noun,A2,ağrı,acı,,
painful,adjective,B1,acı verici,,,
paint,verb,A1,boyamak,,werkwoord — zie ook paint (zelfstandig naamwoord) (to cover with colored liquid),
paint,noun,A1,boya,,zelfstandig naamwoord — zie ook paint (werkwoord) (colored liquid for coating surfaces),
painter,noun,A2,ressam,,,
painting,noun,A1,tablo,,zelfstandig naamwoord (het schilderij zelf) — zie ook painting (het schilderen),
painting,noun,B1,resim yapma,,zelfstandig naamwoord (het schilderen als activiteit) — zie ook painting (het schilderij),
pair,noun,A1,çift,,,
palace,noun,A2,saray,,,
pale,adjective,B1,soluk (solgun),,,
palm,noun,B2,avuç içi,,zelfstandig naamwoord (handpalm) — zie ook palm (palmboom),
palm,noun,C1,palmiye,,zelfstandig naamwoord (palmboom) — zie ook palm (handpalm),
pan,noun,B1,tava,,,
panel,noun,B2,panel,,,
panic,noun,B2,panik,,,
pants,noun,A1,pantolon,,,
paper,noun,A1,kağıt,,,
parade,noun,B2,geçit töreni,,,
paragraph,noun,A1,paragraf,,,
parallel,adjective,B2,paralel,,"bijvoeglijk naamwoord — zie ook parallel (zelfstandig) (running side by side, never meeting)",
parallel,noun,B2,paralel,denklik,"zelfstandig naamwoord — zie ook parallel (bijvoeglijk) (a similarity, comparison)",
parameter,noun,C1,parametre,,,
parent,noun,A1,ebeveyn,,,
parental,adjective,C1,ebeveynlere ait,,,
park,noun,A1,park,,zelfstandig naamwoord — zie ook park (werkwoord) (a public green area),
park,verb,A1,park etmek,,werkwoord — zie ook park (zelfstandig naamwoord) (to leave a vehicle somewhere),
parking,noun,A2,park etme,,,
parliament,noun,C1,parlamento,meclis,,
part,noun,A1,parça,,,
part-time,adjective,B2,yarı zamanlı,,,
partial,adjective,C1,kısmi,,,
partially,adverb,C1,kısmen,,,
participant,noun,B2,katılımcı,,,
participate,verb,B1,katılmak,,,
participation,noun,B2,katılım,,,
particular,adjective,A2,belirli,özel,,
particularly,adverb,B1,özellikle,,,
partly,adverb,B2,kısmen,,,
partner,noun,A1,ortak,,,
partnership,noun,B2,ortaklık,,,
party,noun,A1,parti,,,
pass,verb,A2,geçmek,,"werkwoord — zie ook pass (zelfstandig naamwoord) (to move past, or to succeed at a test)",
pass,noun,B1,geçiş (kart),paso,"zelfstandig naamwoord — zie ook pass (werkwoord) (a permit, or a route through mountains)",
passage,noun,B2,geçit,,zelfstandig naamwoord (gang/doorgang) — zie ook passage (tekstfragment),
passage,noun,C1,metin parçası,,zelfstandig naamwoord (tekstfragment/passage uit een tekst) — zie ook passage (gang),
passenger,noun,A2,yolcu,,,
passing,noun,C1,geçiş,,"zelfstandig naamwoord (het voorbijgaan, bv. van tijd) — zie ook passing (overlijden)",
passing,noun,C1,vefat,,"zelfstandig naamwoord (overlijden, eufemistisch) — zie ook passing (voorbijgaan)",
passion,noun,B1,tutku,,,
passionate,adjective,B2,tutkulu,,,
passive,adjective,C1,pasif,,,
passport,noun,A1,pasaport,,,
password,noun,B2,şifre,parola,,
past,adjective,A1,geçmiş,,,
pastor,noun,C1,papaz,,,
patch,noun,B2,yama,,,
patent,noun,C1,patent,,,
path,noun,B1,patika,yol,,
pathway,noun,C1,yol,patika,,
patience,noun,B2,sabır,,,
patient,noun,A2,hasta,,zelfstandig naamwoord — zie ook patient (bijvoeglijk) (someone receiving medical care),
patient,adjective,B2,sabırlı,,bijvoeglijk naamwoord — zie ook patient (zelfstandig) (able to wait calmly),
patrol,noun,C1,devriye,,zelfstandig naamwoord — zie ook patrol (werkwoord) (a group that guards an area),
patrol,verb,C1,devriye gezmek,,werkwoord — zie ook patrol (zelfstandig naamwoord) (to walk/travel around an area to guard it),
patron,noun,C1,müşteri,,zelfstandig naamwoord (vaste klant) — zie ook patron (weldoener),
patron,noun,C1,hami,,zelfstandig naamwoord (weldoener/beschermheer) — zie ook patron (klant),
pattern,noun,A2,desen,kalıp,,
pause,verb,B2,duraklamak,,werkwoord — zie ook pause (zelfstandig naamwoord) (to stop temporarily),
pause,noun,B2,duraklama,mola,zelfstandig naamwoord — zie ook pause (werkwoord) (a temporary stop),
pay,verb,A1,ödemek,,werkwoord — zie ook pay (zelfstandig naamwoord) (to give money for something),
pay,noun,A2,maaş,,"zelfstandig naamwoord — zie ook pay (werkwoord) (wages, salary)",
payment,noun,B1,ödeme,,,
peace,noun,A2,barış,,,
peaceful,adjective,B1,huzurlu (barışçıl),,,
peak,noun,C1,zirve,,,
peasant,noun,C1,köylü,,,
peculiar,adjective,C1,tuhaf,kendine özgü,,
peer,noun,B2,akran,,,
pen,noun,A1,kalem (tükenmez),,,
penalty,noun,B2,ceza,,,
pencil,noun,A1,kurşun kalem,,,
penny,noun,A2,peni,,,
pension,noun,C1,emekli maaşı,,,
people,noun,A1,insanlar,,,
pepper,noun,A1,biber,,,
per,preposition,A2,başına,,,
perceive,verb,B2,algılamak,,,
percent,noun,A2,yüzde,,,
percentage,noun,B1,yüzde oranı,,,
perception,noun,B2,algı,,,
perfect,adjective,A1,mükemmel,,,
perfectly,adverb,B1,mükemmel bir şekilde,,,
perform,verb,A2,gerçekleştirmek,,werkwoord (een taak uitvoeren) — zie ook perform (optreden),
perform,verb,B1,sahne almak,,werkwoord (optreden op een podium) — zie ook perform (uitvoeren),
performance,noun,B1,performans,,,
perhaps,adverb,A2,belki,,,
period,noun,A1,dönem,,,
permanent,adjective,B2,kalıcı,,,
permanently,adverb,B2,kalıcı olarak,,,
permission,noun,A2,izin,,,
permit,verb,B2,izin vermek,,werkwoord — zie ook permit (zelfstandig naamwoord) (to allow),
permit,noun,B2,izin belgesi,,zelfstandig naamwoord — zie ook permit (werkwoord) (an official document allowing something),
persist,verb,C1,ısrar etmek,devam etmek,,
persistent,adjective,C1,ısrarcı,sürekli,,
person,noun,A1,kişi,,,
personal,adjective,A1,kişisel,,,
personality,noun,A2,kişilik,,,
personally,adverb,B1,şahsen,,,
personnel,noun,C1,personel,,,
perspective,noun,B2,bakış açısı,perspektif,,
persuade,verb,B1,ikna etmek,,,
pet,noun,A2,evcil hayvan,,,
petition,noun,C1,dilekçe,,,
pharmacy,noun,B2,eczane,,,
phase,noun,B2,evre (aşama),,,
phenomenon,noun,B2,fenomen (olgu),,,
philosopher,noun,C1,filozof,,,
philosophical,adjective,C1,felsefi,,,
philosophy,noun,B2,felsefe,,,
phone,noun,A1,telefon,,zelfstandig naamwoord — zie ook phone (werkwoord) (the device for calling),
phone,verb,A1,telefon etmek,,werkwoord — zie ook phone (zelfstandig naamwoord) (to call on the telephone),
photo,noun,A1,fotoğraf,,,
photograph,noun,A1,fotoğraf,,zelfstandig naamwoord — zie ook photograph (werkwoord) (a picture taken by camera),
photograph,verb,A2,fotoğraflamak,,werkwoord — zie ook photograph (zelfstandig naamwoord) (to take a picture of with a camera),
photographer,noun,B1,fotoğrafçı,,,
photography,noun,B1,fotoğrafçılık,,,
phrase,noun,A1,ifade (deyim),,,
physical,adjective,A2,fiziksel,,,
physician,noun,B2,doktor,hekim,,
physics,noun,A2,fizik,,,
piano,noun,A1,piyano,,,
pick,verb,A2,seçmek,toplamak,werkwoord — zie ook pick (zelfstandig naamwoord) (to choose),
pick,noun,B2,seçim (tercih),,zelfstandig naamwoord — zie ook pick (werkwoord) (a choice),
picture,noun,A1,resim,,zelfstandig naamwoord — zie ook picture (werkwoord) (an image),
picture,verb,B2,hayal etmek (canlandırmak),,werkwoord — zie ook picture (zelfstandig naamwoord) (to imagine),
piece,noun,A1,parça,,,
pig,noun,A1,domuz,,,
pile,noun,B2,yığın,,zelfstandig naamwoord — zie ook pile (werkwoord) (a stacked heap),
pile,verb,B2,yığmak,,werkwoord — zie ook pile (zelfstandig naamwoord) (to stack up),
pill,noun,B2,hap,,,
pilot,noun,A2,pilot,,,
pin,noun,B1,toplu iğne,,zelfstandig naamwoord — zie ook pin (werkwoord) (a small pointed fastener),
pin,verb,B1,iğnelemek (tutturmak),,werkwoord — zie ook pin (zelfstandig naamwoord) (to fasten with a pin),
pink,adjective,A1,pembe,,,
pioneer,noun,C1,öncü,,zelfstandig naamwoord — zie ook pioneer (werkwoord) (someone who is first to do something),
pioneer,verb,C1,öncülük etmek,,werkwoord — zie ook pioneer (zelfstandig naamwoord) (to be the first to develop something),
pipe,noun,B1,boru,,zelfstandig naamwoord (leidingbuis) — zie ook pipe (rookpijp),
pipe,noun,B2,pipo,,zelfstandig naamwoord (rookpijp) — zie ook pipe (leidingbuis),
pipeline,noun,C1,boru hattı,,,
pirate,noun,C1,korsan,,,
pit,noun,C1,çukur,,,
pitch,noun,B2,perde,,zelfstandig naamwoord (toonhoogte) — zie ook pitch (sportveld),
pitch,noun,B2,saha,,zelfstandig naamwoord (sportveld) — zie ook pitch (toonhoogte),
pity,noun,B2,acıma,yazık,,
place,noun,A1,yer,,zelfstandig naamwoord — zie ook place (werkwoord) (a location),
place,verb,B1,yerleştirmek,,werkwoord — zie ook place (zelfstandig naamwoord) (to put in a particular position),
placement,noun,B2,yerleştirme,,,
plain,adjective,B2,sade,,bijvoeglijk naamwoord (eenvoudig/onopgesmukt) — zie ook plain (duidelijk),
plain,adjective,C1,açık,,bijvoeglijk naamwoord (duidelijk/overduidelijk) — zie ook plain (eenvoudig),
plan,noun,A1,plan,,zelfstandig naamwoord — zie ook plan (werkwoord) (a scheme for doing something),
plan,verb,A1,planlamak,,werkwoord — zie ook plan (zelfstandig naamwoord) (to decide in advance how to do something),
plane,noun,A1,uçak,,,
planet,noun,A2,gezegen,,,
planning,noun,B1,planlama,,,
plant,noun,A1,bitki,fabrika (tesis),zelfstandig naamwoord — zie ook plant (werkwoord) (a living organism like a tree/flower),
plant,verb,A2,dikmek (ekmek),,werkwoord — zie ook plant (zelfstandig naamwoord) (to put a seed/plant in the ground),
plastic,noun,A2,plastik,,,
plate,noun,A2,tabak,,,
platform,noun,A2,platform,,"zelfstandig naamwoord (algemeen platform, bv. politiek/tech) — zie ook platform (perron)",
platform,noun,B1,peron,,zelfstandig naamwoord (treinperron) — zie ook platform (algemeen platform),
play,verb,A1,oynamak,,werkwoord — zie ook play (zelfstandig naamwoord) (to take part in a game/activity for fun),
play,noun,A1,oyun (tiyatro),,zelfstandig naamwoord — zie ook play (werkwoord) (a stage drama),
player,noun,A1,oyuncu,,,
plea,noun,C1,yalvarış,savunma (hukuki),,
plead,verb,C1,yalvarmak,savunmasını yapmak,,
pleasant,adjective,B1,hoş (keyifli),,,
please,exclamation,A1,lütfen,,,
pleased,adjective,A2,memnun,,,
pleasure,noun,B1,zevk (keyif),,,
pledge,verb,C1,söz vermek,,werkwoord — zie ook pledge (zelfstandig naamwoord) (to solemnly promise),
pledge,noun,C1,söz,taahhüt,zelfstandig naamwoord — zie ook pledge (werkwoord) (a solemn promise),
plenty,pronoun,B1,bol miktarda,,,
plot,verb,B2,plan kurmak (komplo),,werkwoord — zie ook plot (zelfstandig naamwoord) (to secretly plan),
plot,noun,B1,olay örgüsü,,"zelfstandig naamwoord (verhaallijn) — zie ook plot (samenzwering) (the storyline, or a secret plan)",
plot,noun,B2,komplo,,"zelfstandig naamwoord (samenzwering) — zie ook plot (verhaallijn) (the storyline, or a secret plan)",
plug,verb,C1,fişe takmak,tıkamak,werkwoord — zie ook plug (zelfstandig naamwoord) (to connect to an electrical socket),
plug,noun,C1,fiş,,zelfstandig naamwoord (stekker) — zie ook plug (stop) (a device that connects to an electrical socket),
plug,noun,C1,tıkaç,,"zelfstandig naamwoord (stop, bv. badstop) — zie ook plug (stekker) (a device that connects to an electrical socket)",
plunge,verb,C1,aniden düşmek,dalmak,,
plus,preposition,B1,artı,,,
pocket,noun,A2,cep,,,
poem,noun,B1,şiir,,,
poet,noun,B1,şair,,,
poetry,noun,B1,şiir (tür),,,
point,verb,B1,işaret etmek,,werkwoord — zie ook point (zelfstandig naamwoord) (to indicate with a finger),
point,noun,A1,nokta,,"zelfstandig naamwoord (stip/plek) — zie ook point (punt/score) (a sharp end, or a specific idea)",
point,noun,B1,puan,,"zelfstandig naamwoord (score/punt bij een spel) — zie ook point (stip) (a sharp end, or a specific idea)",
pointed,adjective,B2,sivri,,,
poison,noun,B1,zehir,,zelfstandig naamwoord — zie ook poison (werkwoord) (a substance that harms/kills),
poison,verb,B1,zehirlemek,,werkwoord — zie ook poison (zelfstandig naamwoord) (to harm/kill with a poisonous substance),
poisonous,adjective,B1,zehirli,,,
pole,noun,C1,direk,,zelfstandig naamwoord (fysieke paal/stok) — zie ook pole (aardpool),
pole,noun,C1,kutup,,"zelfstandig naamwoord (geografische pool, bv. Noordpool) — zie ook pole (paal)",
police,noun,A1,polis,,,
policeman,noun,A1,polis memuru,,,
policy,noun,B1,politika (ilke),,,
polite,adjective,A2,kibar,,,
political,adjective,B1,siyasi,,,
politician,noun,B1,politikacı,,,
politics,noun,B1,siyaset,,,
poll,noun,C1,anket,oylama,,
pollution,noun,A2,kirlilik,,,
pond,noun,C1,gölet,,,
pool,noun,A1,havuz,,,
poor,adjective,A1,fakir (zavallı),,,
pop,verb,C1,patlamak,,"(to make a short sharp sound, burst)",
pop,noun,A2,pop (müzik),,(popular music),
popular,adjective,A1,popüler,,,
popularity,noun,B2,popülerlik,,,
population,noun,A2,nüfus,,,
port,noun,B1,liman,,,
portfolio,noun,C1,portföy,,,
portion,noun,B2,kısım,porsiyon,,
portrait,noun,B1,portre,,,
portray,verb,C1,tasvir etmek,,werkwoord (beschrijven/uitbeelden) — zie ook portray (een rol spelen),
portray,verb,C1,canlandırmak,,werkwoord (een rol/personage spelen) — zie ook portray (beschrijven),
pose,verb,B2,poz vermek,,werkwoord (poseren voor een foto) — zie ook pose (een probleem vormen),
pose,verb,C1,yol açmak,,werkwoord (een probleem/risico veroorzaken) — zie ook pose (poseren),
position,noun,A2,konum,pozisyon,"zelfstandig naamwoord — zie ook position (werkwoord) (a location, or a job/rank)",
position,verb,B2,konumlandırmak,,werkwoord — zie ook position (zelfstandig naamwoord) (to place in a particular spot),
positive,adjective,A1,olumlu,,,
possess,verb,B2,sahip olmak,,,
possession,noun,A2,mülk (eşya),,,
possibility,noun,A2,olasılık,,,
possible,adjective,A1,mümkün,,,
possibly,adverb,B1,muhtemelen,,,
post,noun,A1,gönderi,,"zelfstandig naamwoord (bericht op sociale media) — zie ook post (postdienst) (a piece of content shared online, or mail)",
post,noun,A2,posta,,"zelfstandig naamwoord (postdienst/post) — zie ook post (social media-bericht) (a piece of content shared online, or mail)",
post,verb,A1,paylaşmak,,"werkwoord (online plaatsen) — zie ook post (per post versturen) (to share content online, or send by mail)",
post,verb,A2,postalamak,,"werkwoord (per post versturen) — zie ook post (online plaatsen) (to share content online, or send by mail)",
poster,noun,A2,poster,,,
postpone,verb,C1,ertelemek,,,
postwar,adjective,C1,savaş sonrası,,,
pot,noun,B1,tencere,,zelfstandig naamwoord (kookpan) — zie ook pot (bloempot),
pot,noun,B2,saksı,,zelfstandig naamwoord (bloempot) — zie ook pot (kookpan),
potato,noun,A1,patates,,,
potential,adjective,B2,potansiyel,,,
potentially,adverb,B2,potansiyel olarak,,,
pound,noun,A1,paund (sterlin/kilo),,,
pour,verb,B1,dökmek,,,
poverty,noun,B1,yoksulluk,,,
powder,noun,B1,toz,,,
power,noun,A2,güç,,"zelfstandig naamwoord — zie ook power (werkwoord) (strength, ability to control)",
power,verb,B2,güç sağlamak,,werkwoord — zie ook power (zelfstandig naamwoord) (to supply energy to),
powerful,adjective,B1,güçlü,,,
practical,adjective,B1,pratik (uygulamalı),,,
practice,noun,A1,pratik (alıştırma),,zelfstandig naamwoord — zie ook practice (werkwoord) (repeated exercise to improve a skill),
practice,verb,A1,pratik yapmak,,werkwoord — zie ook practice (zelfstandig naamwoord) (to repeatedly exercise a skill),
practitioner,noun,C1,uygulayıcı,hekim,,
praise,noun,B2,övgü,,zelfstandig naamwoord — zie ook praise (werkwoord) (an expression of approval),
praise,verb,B2,övmek,,werkwoord — zie ook praise (zelfstandig naamwoord) (to express approval of),
pray,verb,B1,dua etmek,,,
prayer,noun,B1,dua,,,
preach,verb,C1,vaaz vermek,öğütlemek,,
precede,verb,B2,önce gelmek,,,
precedent,noun,C1,emsal,,,
precious,adjective,B2,değerli,kıymetli,,
precise,adjective,B2,kesin,tam,,
precisely,adverb,B2,tam olarak,kesinlikle,,
precision,noun,C1,hassasiyet,kesinlik,,
predator,noun,C1,yırtıcı hayvan,avcı,,
predecessor,noun,C1,selef,,,
predict,verb,A2,tahmin etmek,,,
predictable,adjective,B2,tahmin edilebilir,,,
prediction,noun,B1,tahmin,,,
predominantly,adverb,C1,ağırlıklı olarak,,,
prefer,verb,A1,tercih etmek,,,
preference,noun,B2,tercih,,,
pregnancy,noun,C1,hamilelik,gebelik,,
pregnant,adjective,B2,hamile,,,
prejudice,noun,C1,önyargı,,,
preliminary,adjective,C1,ön,hazırlık niteliğinde,,
premier,noun,C1,başbakan,,,
premise,noun,C1,önerme,varsayım,,
premium,noun,C1,prim,ödül,,
